Word,Count
severity,1
cuts,1
posterity,2
wise,7
wisely,6
merit,2
bliss,2
making,5
despair,4
forsworn,5
vow,4
dead,63
now,131
ruled,3
forget,10
think,34
teach,5
giving,8
liberty,3
unto,12
examine,2
beauties,3
way,27
hers,4
exquisite,1
question,6
masks,1
kiss,13
ladies,5
brows,5
puts,3
hide,13
strucken,1
blind,5
cannot,41
precious,5
treasure,2
eyesight,2
mistress,13
passing,2
note,8
read,9
passed,2
canst,10
doctrine,1
die,28
debt,3
county,19
paris,58
bound,9
penalty,1
alike,3
hard,6
honorable,5
reckoning,1
pity,4
lived,5
odds,2
lord,69
suit,2
saying,2
oer,14
said,20
child,21
stranger,1
world,21
change,4
fourteen,6
years,11
two,29
summers,3
wither,1
pride,3
ripe,2
bride,6
younger,3
than,76
mothers,3
marred,1
earth,27
swallowed,1
hopes,4
hopeful,1
woo,4
get,22
consent,6
agreed,1
within,34
scope,1
choice,2
lies,27
according,3
voice,7
hold,27
accustomed,2
feast,11
whereto,2
invited,1
guest,5
welcome,19
number,2
behold,10
earthtreading,1
stars,9
make,77
dark,12
heaven,43
comfort,15
lusty,2
wellappareled,1
april,1
heel,2
limping,1
winter,1
treads,1
even,22
delight,5
fennel,1
buds,1
inherit,1
like,78
though,28
reckning,1
none,28
sirrah,8
trudge,2
through,14
verona,8
find,35
persons,2
names,7
written,6
shoemaker,1
meddle,1
yard,1
tailor,4
last,17
fisher,1
pencil,1
painter,1
nets,1
sent,6
writ,7
never,31
writing,1
person,5
learned,5
burns,1
anothers,3
burning,2
lessened,1
anguish,1
giddy,1
helped,2
backward,4
turning,3
desperate,8
cures,2
languish,1
infection,2
eye,30
rank,2
poison,16
plantain,1
leaf,3
excellent,2
pray,29
broken,1
shin,1
mad,13
madman,2
shut,7
prison,2
kept,1
food,3
whipped,1
tormented,1
andgood,1
een,7
fellow,7
god,42
gi,1
fortune,14
misery,2
perhaps,1
book,8
letters,7
language,1
honestly,1
merry,8
reads,2
letter,18
signior,3
martino,1
daughters,6
anselme,1
beauteous,3
sisters,9
widow,1
vitruvio,1
placentio,1
lovely,2
nieces,1
mercutio,84
brother,6
valentine,1
niece,1
rosaline,9
livia,1
valentio,1
lucio,1
lively,1
helena,1
assembly,1
whither,5
supper,6
indeed,14
asked,5
asking,1
master,15
great,40
crush,1
cup,3
wine,4
exits,61
sups,1
whom,15
admired,2
thither,9
unattainted,1
compare,3
face,32
swan,1
crow,4
devout,1
religion,1
maintains,1
falsehood,1
often,6
drowned,1
transparent,1
heretics,1
burnt,2
liars,3
fairer,3
allseeing,1
neer,13
match,4
since,17
